year,avg_temp,movingavg_15y
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,
1755,8.36,
1756,8.85,
1757,9.02,
1758,6.74,
1759,7.99,
1760,7.19,
1761,8.77,
1762,8.61,
1763,7.5,
1764,8.4,8.051333333
1765,8.25,8.02
1766,8.41,8.048666667
1767,8.22,8.211333333
1768,6.78,8.104
1769,7.69,8.052
1770,7.69,8.007333333
1771,7.85,7.940666667
1772,8.19,7.885333333
1773,8.22,7.984
1774,8.77,8.036
1775,9.18,8.168666667
1776,8.3,8.137333333
1777,8.26,8.114
1778,8.54,8.183333333
1779,8.98,8.222
1780,9.43,8.300666667
1781,8.1,8.28
1782,7.9,8.258666667
1783,7.68,8.318666667
1784,7.86,8.33
1785,7.36,8.308
1786,8.26,8.335333333
1787,8.03,8.324666667
1788,8.45,8.34
1789,8.33,8.310666667
1790,7.98,8.230666667
1791,8.23,8.226
1792,8.09,8.214666667
1793,8.23,8.194
1794,8.53,8.164
1795,8.35,8.092
1796,8.27,8.103333333
1797,8.51,8.144
1798,8.67,8.21
1799,8.51,8.253333333
1800,8.48,8.328
1801,8.59,8.35
1802,8.58,8.386666667
1803,8.5,8.39
1804,8.84,8.424
1805,8.56,8.462666667
1806,8.43,8.476
1807,8.28,8.488666667
1808,7.63,8.448666667
1809,7.08,8.352
1810,6.92,8.256666667
1811,6.86,8.162666667
1812,7.05,8.065333333
1813,7.74,8.003333333
1814,7.59,7.942
1815,7.24,7.859333333
1816,6.94,7.749333333
1817,6.98,7.642666667
1818,7.83,7.598
1819,7.37,7.5
1820,7.62,7.437333333
1821,8.09,7.414666667
1822,8.19,7.408666667
1823,7.72,7.414666667
1824,8.55,7.512666667
1825,8.39,7.610666667
1826,8.36,7.710666667
1827,8.81,7.828
1828,8.17,7.856666667
1829,7.94,7.88
1830,8.52,7.965333333
1831,7.64,8.012
1832,7.45,8.043333333
1833,8.01,8.055333333
1834,8.15,8.107333333
1835,7.39,8.092
1836,7.7,8.066
1837,7.38,8.012
1838,7.51,7.998
1839,7.63,7.936666667
1840,7.8,7.897333333
1841,7.69,7.852666667
1842,8.02,7.8
1843,8.17,7.8
1844,7.65,7.780666667
1845,7.85,7.736
1846,8.55,7.796666667
1847,8.09,7.839333333
1848,7.98,7.837333333
1849,7.98,7.826
1850,7.9,7.86
1851,8.18,7.892
1852,8.1,7.94
1853,8.04,7.975333333
1854,8.21,8.014
1855,8.11,8.034666667
1856,8,8.055333333
1857,7.76,8.038
1858,8.1,8.033333333
1859,8.25,8.073333333
1860,7.96,8.080666667
1861,7.85,8.034
1862,7.56,7.998666667
1863,8.11,8.007333333
1864,7.98,8.007333333
1865,8.18,8.026
1866,8.29,8.033333333
1867,8.44,8.056
1868,8.25,8.07
1869,8.43,8.084666667
1870,8.2,8.090666667
1871,8.12,8.098666667
1872,8.19,8.127333333
1873,8.35,8.144
1874,8.43,8.156
1875,7.86,8.149333333
1876,8.08,8.164666667
1877,8.54,8.23
1878,8.83,8.278
1879,8.17,8.290666667
1880,8.12,8.286666667
1881,8.27,8.285333333
1882,8.13,8.264666667
1883,7.98,8.246666667
1884,7.77,8.202666667
1885,7.92,8.184
1886,7.95,8.172666667
1887,7.91,8.154
1888,8.09,8.136666667
1889,8.32,8.129333333
1890,7.97,8.136666667
1891,8.02,8.132666667
1892,8.07,8.101333333
1893,8.06,8.05
1894,8.16,8.049333333
1895,8.15,8.051333333
1896,8.21,8.047333333
1897,8.29,8.058
1898,8.18,8.071333333
1899,8.4,8.113333333
1900,8.5,8.152
1901,8.54,8.191333333
1902,8.3,8.217333333
1903,8.22,8.226
1904,8.09,8.210666667
1905,8.23,8.228
1906,8.38,8.252
1907,7.95,8.244
1908,8.19,8.252666667
1909,8.18,8.254
1910,8.22,8.258666667
1911,8.18,8.256666667
1912,8.17,8.248666667
1913,8.3,8.256666667
1914,8.59,8.269333333
1915,8.59,8.275333333
1916,8.23,8.254666667
1917,8.02,8.236
1918,8.13,8.23
1919,8.38,8.249333333
1920,8.36,8.258
1921,8.57,8.270666667
1922,8.41,8.301333333
1923,8.42,8.316666667
1924,8.51,8.338666667
1925,8.53,8.359333333
1926,8.73,8.396
1927,8.52,8.419333333
1928,8.63,8.441333333
1929,8.24,8.418
1930,8.63,8.420666667
1931,8.72,8.453333333
1932,8.71,8.499333333
1933,8.34,8.513333333
1934,8.63,8.53
1935,8.52,8.540666667
1936,8.55,8.539333333
1937,8.7,8.558666667
1938,8.86,8.588
1939,8.76,8.604666667
1940,8.76,8.62
1941,8.77,8.622666667
1942,8.73,8.636666667
1943,8.76,8.645333333
1944,8.85,8.686
1945,8.58,8.682666667
1946,8.68,8.68
1947,8.8,8.686
1948,8.75,8.713333333
1949,8.59,8.710666667
1950,8.37,8.700666667
1951,8.63,8.706
1952,8.64,8.702
1953,8.87,8.702666667
1954,8.56,8.689333333
1955,8.63,8.680666667
1956,8.28,8.648
1957,8.73,8.648
1958,8.77,8.648666667
1959,8.73,8.640666667
1960,8.58,8.640666667
1961,8.8,8.648666667
1962,8.75,8.645333333
1963,8.86,8.652666667
1964,8.41,8.640666667
1965,8.53,8.651333333
1966,8.6,8.649333333
1967,8.7,8.653333333
1968,8.52,8.63
1969,8.6,8.632666667
1970,8.7,8.637333333
1971,8.6,8.658666667
1972,8.5,8.643333333
1973,8.95,8.655333333
1974,8.47,8.638
1975,8.74,8.648666667
1976,8.35,8.618666667
1977,8.85,8.625333333
1978,8.69,8.614
1979,8.73,8.635333333
1980,8.98,8.665333333
1981,9.17,8.703333333
1982,8.64,8.699333333
1983,9.03,8.733333333
1984,8.69,8.739333333
1985,8.66,8.736666667
1986,8.83,8.752
1987,8.99,8.784666667
1988,9.2,8.801333333
1989,8.92,8.831333333
1990,9.23,8.864
1991,9.18,8.919333333
1992,8.84,8.918666667
1993,8.87,8.930666667
1994,9.04,8.951333333
1995,9.35,8.976
1996,9.04,8.967333333
1997,9.2,9.004666667
1998,9.52,9.037333333
1999,9.29,9.077333333
2000,9.2,9.113333333
2001,9.41,9.152
2002,9.57,9.190666667
2003,9.53,9.212666667
2004,9.32,9.239333333
2005,9.7,9.270666667
2006,9.53,9.294
2007,9.73,9.353333333
2008,9.43,9.390666667
2009,9.51,9.422
2010,9.7,9.445333333
2011,9.52,9.477333333
2012,9.51,9.498
2013,9.61,9.504
2014,9.57,9.522666667
2015,9.83,9.564666667
